story_no,ressort,title,publication_date,type,url
22042,Energie & Mobilität,Testdaten Setzt der Entwurf für das neue Erneuerbare-Energien-Gesetz die richtigen Akzente?,2022-03-17,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/setzt-der-entwurf-fuer-das-neue-erneuerbare-energien-gesetz-die-richtigen-akzente/
22054,Energie & Mobilität,Testdaten Warum die Industrie nicht schnell auf Erdgas verzichten kann,2022-04-07,Fact Sheet,https://www.sciencemediacenter.de/alle-angebote/fact-sheet/details/news/warum-die-industrie-in-deutschland-nicht-schnell-auf-erdgas-verzichten-kann/
22048,Digitales & Technologie,Testdaten Digital Markets Act zur Regulierung großer Digitalkonzerne ,2022-03-25,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/digital-markets-act-zur-regulierung-grosser-digitalkonzerne/
22053,Klima & Umwelt,Testdaten Windkraft und Artenschutz: So will die Bundesregierung den Konflikt lösen,2022-04-14,Science Response,https://www.sciencemediacenter.de/alle-angebote/science-response/details/news/windkraft-und-artenschutz-so-will-die-bundesregierung-den-konflikt-loesen/
22049,Medizin & Lebenswissenschaften,Testdaten Mögliches Risiko für Missbildungen durch Diabetestherapie bei Vater,2022-03-28,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/moegliches-risiko-fuer-missbildungen-durch-diabetestherapie-bei-vater/
22022,Energie & Mobilität,Testdaten Technology Readiness Level ,2022-02-17,Fact Sheet,
22008,Medizin & Lebenswissenschaften,"Testdaten Long Covid – Begriff, Befund, Behandlung",2022-02-08,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/long-covid-begriff-befund-behandlung/
22009,Medizin & Lebenswissenschaften,Testdaten Zukünftige Impfstoffe gegen COVID-19,2022-01-21,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/zukuenftige-impfstoffstrategie-gegen-covid-19/
22028,Klima & Umwelt,Testdaten Ist Grünes Wachstum möglich?,2022-02-23,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/ist-gruenes-wachstum-moeglich/
22020,Medizin & Lebenswissenschaften,Testdaten Welche Szenarien eine Impfpflicht rechtfertigen könnten,2022-02-16,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/welche-szenarien-eine-impfpflicht-rechtfertigen-koennten/
22094,Medizin & Lebenswissenschaften,Testdaten Brustkrebszellen bilden Metastasen eher im Schlaf,2022-06-24,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/brustkrebszellen-bilden-metastasen-eher-im-schlaf/
22021,Klima & Umwelt,"Testdaten Nur wenige CCU-Techniken dienen dem 1,5-Grad-Ziel",2022-02-18,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/nur-wenige-ccu-techniken-dienen-dem-15-grad-ziel/
22084,Medizin & Lebenswissenschaften,Testdaten Leberschäden bei Kindern als Folge von COVID-19?,2022-06-15,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/leberschaeden-bei-kindern-als-folge-von-covid-19/
22078,Klima & Umwelt,Testdaten Dürre & Ernährungssicherheit in Ostafrika: Langfristige Lösungen und die Rolle des globalen Nordens,2022-05-30,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/duerre-und-ernaehrungssicherheit-in-ostafrika-langfristige-loesungen-und-die-rolle-des-globalen-nordens/
22091,Medizin & Lebenswissenschaften,Testdaten Ist die Verbreitung der Affenpocken noch zu stoppen?,2022-06-24,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/ist-die-verbreitung-der-affenpocken-noch-zu-stoppen/
22041,Klima & Umwelt,Testdaten EU-Verordnung für verringerten Pestizideinsatz: Ist eine Landwirtschaft mit weniger Pestiziden möglich?,2022-03-18,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/eu-verordnung-fuer-verringerten-pestizideinsatz-ist-eine-landwirtschaft-mit-weniger-pestiziden-moeglich/
22056,Medizin & Lebenswissenschaften,Testdaten Häufung von Hepatitis-Fällen bei Kindern in Großbritannien,2022-04-13,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/haeufung-von-hepatitis-faellen-bei-kindern-in-grossbritannien/
22090,Energie & Mobilität,Testdaten Alarmstufe Notfallplan Gas – Wie lässt sich im kommenden Winter Erdgas sparen?,2022-06-23,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/alarmstufe-notfallplan-gas-wie-laesst-sich-im-kommenden-winter-erdgas-sparen/
22059,Klima & Umwelt,Testdaten Lebensmittel aus dem Labor könnten der Umwelt helfen,2022-04-25,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/lebensmittel-aus-dem-labor-koennten-der-umwelt-helfen/
22060,Digitales & Technologie,Testdaten Digital Services Act zur Regulierung großer Digitalkonzerne,2022-04-22,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/digital-services-act-zur-regulierung-grosser-digitalkonzerne/
22058,Medizin & Lebenswissenschaften,Testdaten Langfristige Wirkung von Antidepressiva auf die Lebensqualität,2022-04-21,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/langfristige-wirkung-von-antidepressiva-auf-die-lebensqualitaet/
22061,Medizin & Lebenswissenschaften,Testdaten Antibiotika verringern Impfschutz bei Kleinkindern,2022-04-27,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/antibiotika-verringern-impfschutz-bei-kleinkindern/
22057,Medizin & Lebenswissenschaften,Testdaten Nutzen und Perspektive weiterer COVID-19-Booster,2022-04-21,Press Briefing,https://www.sciencemediacenter.de/alle-angebote/press-briefing/details/news/nutzen-und-perspektive-weiterer-covid-19-booster/
22062,Medizin & Lebenswissenschaften,"Testdaten Kinder, die sich vegetarisch ernähren, neigen eher zu Untergewicht",2022-05-02,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/neigen-vegetarisch-ernaehrte-kinder-eher-zu-untergewicht/
22095,Klima & Umwelt,Testdaten Ein Jahr Einwegplastik-Verbot – was hat es gebracht?,2022-06-30,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/ein-jahr-einwegplastik-verbot-was-hat-es-gebracht/
22064,Klima & Umwelt,Testdaten Mehr Nachteile durch CO2-Entnahme mit BECCS als durch Aufforstung?,2022-05-04,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/mehr-nachteile-durch-co2-entnahme-mit-beccs-als-durch-aufforstung/
22065,Medizin & Lebenswissenschaften,Testdaten Stärkere Immunantwort durch Impfung an gleicher Stelle,2022-05-06,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/staerkere-immunantwort-durch-impfung-an-gleicher-stelle/
22036,Medizin & Lebenswissenschaften,Testdaten Suche nach einem universellen COVID-19-Impfstoff,2022-03-15,Science Response,https://www.sciencemediacenter.de/alle-angebote/science-response/details/news/suche-nach-einem-universellen-covid-19-impfstoff/
22081,Energie & Mobilität,Testdaten EU-Parlament stimmt über Verbrennerverbot ab,2022-06-09,Rapid Reaction,https://www.sciencemediacenter.de/alle-angebote/rapid-reaction/details/news/eu-parlament-stimmt-fuer-verbrennerverbot/
22063,Digitales & Technologie,Testdaten Wirkung von Hinweisen zur Verlässlichkeit von Medien,2022-05-06,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/wirkung-von-hinweisen-zur-verlaesslichkeit-von-medien/
22023,Medizin & Lebenswissenschaften,Testdaten gesundheitliche Auswirkungen von Chemikaliengemischen mit endokriner Wirkung,2022-02-17,Research in Context,https://www.sciencemediacenter.de/alle-angebote/research-in-context/details/news/gesundheitliche-auswirkungen-von-chemikaliengemischen-mit-endokriner-wirkung/
